date,value,series_id
1946-01-01,,GDP
1946-04-01,,GDP
1946-07-01,,GDP
1946-10-01,,GDP
1947-01-01,243.164,GDP
1947-04-01,245.968,GDP
1947-07-01,249.585,GDP
1947-10-01,259.745,GDP
1948-01-01,265.742,GDP
1948-04-01,272.567,GDP
1948-07-01,279.196,GDP
1948-10-01,280.366,GDP
1949-01-01,275.034,GDP
1949-04-01,271.351,GDP
1949-07-01,272.889,GDP
1949-10-01,270.627,GDP
1950-01-01,280.828,GDP
1950-04-01,290.383,GDP
1950-07-01,308.153,GDP
1950-10-01,319.945,GDP
1951-01-01,336.0,GDP
1951-04-01,344.09,GDP
1951-07-01,351.385,GDP
1951-10-01,356.178,GDP
1952-01-01,359.82,GDP
1952-04-01,361.03,GDP
1952-07-01,367.701,GDP
1952-10-01,380.812,GDP
1953-01-01,387.98,GDP
1953-04-01,391.749,GDP
1953-07-01,391.171,GDP
1953-10-01,385.97,GDP
1954-01-01,385.345,GDP
1954-04-01,386.121,GDP
1954-07-01,390.996,GDP
1954-10-01,399.734,GDP
1955-01-01,413.073,GDP
1955-04-01,421.532,GDP
1955-07-01,430.221,GDP
1955-10-01,437.092,GDP
1956-01-01,439.746,GDP
1956-04-01,446.01,GDP
1956-07-01,451.191,GDP
1956-10-01,460.463,GDP
1957-01-01,469.779,GDP
1957-04-01,472.025,GDP
1957-07-01,479.49,GDP
1957-10-01,474.864,GDP
1958-01-01,467.54,GDP
1958-04-01,471.978,GDP
1958-07-01,485.841,GDP
1958-10-01,499.555,GDP
1959-01-01,510.33,GDP
1959-04-01,522.653,GDP
1959-07-01,525.034,GDP
1959-10-01,528.6,GDP
1960-01-01,542.648,GDP
1960-04-01,541.08,GDP
1960-07-01,545.604,GDP
1960-10-01,540.197,GDP
1961-01-01,545.018,GDP
1961-04-01,555.545,GDP
1961-07-01,567.664,GDP
1961-10-01,580.612,GDP
1962-01-01,594.013,GDP
1962-04-01,600.366,GDP
1962-07-01,609.027,GDP
1962-10-01,612.28,GDP
1963-01-01,621.672,GDP
